name,known_for_department,popularity
Azi Acosta,Acting,4.3375
Jennifer Morrison,Acting,4.3357
Miles Wei,Acting,4.335
Lucy Black,Acting,4.3347
Eric Winter,Acting,4.3335
Steve Carell,Acting,4.3295
Andy On Chi-Kit,Acting,4.3274
Choi Min-yeong,Acting,4.3256
Lee Min-ho,Acting,3.8941
Robert Gilbert,Acting,3.4472
Rob Estes,Acting,4.3507
Elvis Tsui Kam-Kong,Acting,3.9606
Takuya Kimura,Acting,4.3474
Taika Waititi,Directing,4.3386
Azi Acosta,Acting,4.3375
Charlie Murphy,Acting,3.9197
Olivia Morandin,Acting,3.4743
Steve Carell,Acting,4.3295
Charithra Chandran,Acting,3.3947
Andy On Chi-Kit,Acting,4.3274
Miles Wei,Acting,4.335
Skye Gonzaga,Acting,4.4434
Stellan Skarsgård,Acting,4.315
Natalia Sánchez,Acting,4.9448
Anthony Hopkins,Acting,4.3095
Saori Hayami,Acting,3.8722
Ester Expósito,Acting,3.7508
Lee Chae-dam,Acting,4.2699
Joel Kinnaman,Acting,4.2257
Susan Shaw Yam-Yam,Acting,4.2249
Hannah Einbinder,Acting,4.2126
Sophie Marceau,Acting,4.2032
Mamitha Baiju,Acting,4.2
Alicia Silverstone,Acting,4.198
Carmen Salinas,Acting,4.1973
Heinz Hoenig,Acting,4.1889
Aayushi Jaiswal,Acting,4.1844
Sumire Morohoshi,Acting,4.1792
Christina Ricci,Acting,4.1784
Amirah J,Acting,4.1767
Audrey Avila,Acting,4.1746
Paola Nuñez,Acting,4.1729
Zosia Mamet,Acting,4.1694
Kenneth Branagh,Acting,4.1643
Jennifer Runyon,Acting,4.1616
Billy Bob Thornton,Acting,4.1609
He Yanzhao,Acting,4.1603
Daniela Melchior,Acting,4.1568
Natalia Sánchez,Acting,4.9448
Saori Hayami,Acting,3.8722
Fan Bingbing,Acting,4.2405
Ester Expósito,Acting,3.7508
Stacy Keach,Acting,3.5291
Lee Chae-dam,Acting,4.2699
Sophia Lillis,Acting,4.0305
Alp Navruz,Acting,3.9804
Lucy Black,Acting,4.3347
Lewis Pullman,Acting,3.4398
Amandla Stenberg,Acting,4.3535
Eddie Murphy,Acting,4.0956
Hayao Miyazaki,Directing,4.3728
Apple Dy,Acting,4.3761
Melanie Griffith,Acting,3.955
Daisy Edgar-Jones,Acting,4.3804
Carmen Salinas,Acting,4.1973
Jennifer Morrison,Acting,4.3357
Chad Michael Murray,Acting,3.8878
Florence Hunt,Acting,3.8197
Steven Yeun,Acting,3.6011
Talia Shire,Acting,3.5851
Eliza Dushku,Acting,3.561
Lee Jong-suk,Acting,3.629
Milana Vayntrub,Acting,3.9249
AJ Raval,Acting,3.8054
Minori Terada,Acting,3.3729
Sophia Loren,Acting,3.541
Neal McDonough,Acting,3.7872
Clancy Brown,Acting,3.9188
Liza Weil,Acting,4.6864
Michelle Rodriguez,Acting,4.6018
Oscar Nuñez,Acting,3.6963
He Yu,Acting,3.6863
Ian Somerhalder,Acting,4.0425
Isabela Merced,Acting,4.0995
Engin Akyürek,Acting,3.4572
Astrid Lee,Acting,4.3579
Tiina Björkman,Acting,3.4843
Mao Ichimichi,Acting,3.6131
Mao Ichimichi,Acting,4.182
Kevin Hart,Acting,4.181
Mun Ka-young,Acting,3.8529
Leighton Meester,Acting,4.1794
Don Lee,Acting,4.1751
Mamitha Baiju,Acting,4.1698
Cole Sprouse,Acting,4.1626
Han Ga-hee,Acting,4.1502
Elliot Page,Acting,3.9671
Fra Fee,Acting,4.1448
Ian McKellen,Acting,3.5751
Kristin Kreuk,Acting,4.139
Steve Buscemi,Acting,3.8203
Harrison Ford,Acting,3.5983
Andy On Chi-Kit,Acting,4.1312
Sean Connery,Acting,3.3957
Zazie Beetz,Acting,4.1267
Yuki Kaji,Acting,4.1267
Déborah Révy,Acting,4.1226
Cote De Pablo,Acting,4.1217
Divya Khossla,Production,3.1867
David Thewlis,Acting,3.7709
Luna Gallego,Acting,2.9095
Meg Foster,Acting,3.8083
Sarah Wayne Callies,Acting,4.0948
Sumire Morohoshi,Acting,4.1792
Ewan McGregor,Acting,3.6629
Kim Kardashian,Acting,3.5826
Dheekshith Shetty,Acting,5.4693
Bai Jingting,Acting,3.7448
Taylor Sheridan,Writing,3.9622
Jennifer Tilly,Acting,3.4828
Claire Forlani,Acting,3.8477
Rami Malek,Acting,3.705
Yash Daasguptaa,Acting,4.0223
Lee Jun-young,Acting,3.7846
Ayane Sakura,Acting,3.9022
Catherine Zeta-Jones,Acting,3.7782
Antonio Banderas,Acting,3.9398
Supoj Janjareonborn,Acting,4.0553
Andy Garcia,Acting,3.5992
Gwyneth Paltrow,Acting,3.7903
Byeon Woo-seok,Acting,3.9124
Yoshitsugu Matsuoka,Acting,3.9838
Tessa Thompson,Acting,3.2971
Priya Mishra,Acting,3.2358
Pegah Ghafoori,Acting,4.1014
Amy Yip Chi-Mei,Acting,4.0071
Kang Eun-hye,Acting,3.7033
Catherine O'Hara,Acting,3.2454
Buster Keaton,Directing,3.4085
Mark Hamill,Acting,4.0111
Jonah Hill,Acting,3.4621
Tim Daly,Acting,3.7667
Vanessa Kirby,Acting,3.4875
Verónica Orozco,Acting,3.7688
Curry Barker,Directing,3.5452
Justin Long,Acting,3.4446
Annette O'Toole,Acting,4.7124
Dennis Quaid,Acting,3.9363
Tom Hiddleston,Acting,3.8491
Hilary Duff,Acting,3.8479
Claire Forlani,Acting,3.8477
Piper Perabo,Acting,3.8452
Naina Chhabra,Acting,3.84
Jenna Dewan,Acting,3.8383
Hugh Jackman,Acting,3.838
MyAnna Buring,Acting,3.8371
Kendall Jenner,Acting,3.8331
Li Bingbing,Acting,3.826
Asia Argento,Acting,3.8259
Veronika Zhuravleva,Acting,3.8255
Elizabeth Olsen,Acting,3.821
Steve Buscemi,Acting,3.8203
Florence Hunt,Acting,3.8197
Michael Caine,Acting,3.8164
Cote De Pablo,Acting,3.809
Yoko Mitsuya,Acting,3.8089
Meg Foster,Acting,3.8083
Claire Danes,Acting,3.8082
Heinz Hoenig,Acting,4.1889
Milena Vukotić,Acting,3.4482
Nihal Nizam,Acting,3.3525
Odessa A'zion,Acting,3.7454
Micaela Brandoni,Acting,2.3668
Serena Grandi,Acting,3.4017
Sarah Gadon,Acting,3.2163
Lisa Ann Walter,Acting,3.289
Masayoshi Nogami,Acting,3.1556
Sushmita Sen,Acting,2.2084
Nobuhiko Okamoto,Acting,3.0788
Tommy Lee Jones,Acting,3.9159
James McAvoy,Acting,3.6266
Tom Hiddleston,Acting,3.8491
Alfred Hitchcock,Directing,3.4712
Sam Worthington,Acting,3.9945
Shawn Ashmore,Acting,3.4864
Juno Temple,Acting,3.3404
Arielle Kebbel,Acting,4.2379
Miriam Leone,Acting,3.19
Song Kang,Acting,3.2943
Sora Amamiya,Acting,3.6886
Park Hee-soon,Acting,3.5252
Minka Kelly,Acting,4.0645
Anri Suzuki,Acting,3.3412
Stephen Chow,Acting,4.0459
Paul Rudd,Acting,3.9906
Chris Tucker,Acting,4.4382
Phoebe Dynevor,Acting,3.3653
Hiroyuki Sanada,Acting,3.7361
Alyssa Diaz,Acting,3.1575
Famke Janssen,Acting,3.8843
Sasha Alexander,Acting,3.0835
Carey Mulligan,Acting,3.2931
Simone Ashley,Acting,3.2871
Dylan O'Brien,Acting,4.3223
Léa Seydoux,Acting,3.5892
Michael Peña,Acting,3.4792
Callum Turner,Acting,3.7092
Kathryn Newton,Acting,3.7372
Charlie Cho Cha-Lee,Acting,3.6242
Nina Dobrev,Acting,3.4032
Ed Harris,Acting,3.6278
Yumiri Hanamori,Acting,3.8582
Sneha,Acting,3.5878
Alice Eve,Acting,3.9045
Shameik Moore,Acting,3.6445
Brandon Sklenar,Acting,3.6466
Kim Yoo-jung,Acting,3.618
Jordana Brewster,Acting,3.3531
Micheál Richardson,Acting,3.1585
Rachel Brosnahan,Acting,3.1184
Hikaru Wakana,Acting,3.7321
Richard Donat,Acting,2.7804
John Noble,Acting,3.699
Renée Zellweger,Acting,3.5505
Sam Neill,Acting,3.751
Natascha McElhone,Acting,3.3522
Owen Wilson,Acting,4.0203
Gary Oldman,Acting,3.9977
Masiela Lusha,Acting,3.6643
