age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,distraction_score,addiction_level,productivity_score
39,,1.67,1.97,7.2179985,308.39304,100.0,,Low,38.230892
17,3.585,1.19,7.46,7.4893923,578.10486,,4.757,Low,90.01856
19,4.72,3.99,6.05,5.1840553,51.690113,100.0,,Medium,37.589764
33,2.06,0.74,6.32,,236.53653,100.0,4.274,Low,92.34832
21,11.78,7.82,0.84,4.575854,202.34422,72.24,9.358,High,0.86119354
35,,6.66,6.69,7.5379176,88.44489,100.0,5.723,High,52.223877
23,5.95,5.14,3.27,5.768112,164.82343,87.86,5.514,High,23.050594
21,9.28,3.47,,7.459193,234.33827,100.0,,Medium,32.330658
32,5.46,2.33,4.61,8.189544,283.33954,100.0,6.407,Medium,52.743225
18,8.71,,6.58,7.196106,262.69254,100.0,7.401,Medium,53.24079
39,10.05,5.63,6.23,5.7588224,251.4533,100.0,7.776,High,27.06651
28,11.47,5.35,7.12,5.3281164,167.66536,100.0,7.059,High,57.743572
32,6.0,4.93,7.43,8.484238,231.41295,100.0,5.411,Medium,74.74119
23,9.83,6.52,1.9,6.23362,87.132484,83.51,6.465,High,14.861447
35,4.66,3.11,3.39,3.8524494,51.79261,100.0,2.053,Medium,28.098442
16,11.9,7.37,0.12,8.035146,208.93393,71.21,10.114,High,-3.1643155
34,2.26,0.8,7.03,5.624149,106.04467,100.0,0.481,Low,68.01587
29,8.04,4.56,1.24,4.334328,,77.53,,Medium,-7.309928
21,8.6,7.74,6.89,9.000536,64.33313,100.0,3.453,High,43.990356
26,8.88,7.11,2.64,6.1943264,259.5708,77.29,8.628,High,5.0321417
22,,2.68,2.95,5.1967874,226.33133,100.0,5.695,Medium,20.813437
29,11.39,9.04,0.31,8.307093,192.97484,79.51,9.622,High,-5.541641
17,3.81,1.38,2.62,8.246195,150.98521,100.0,4.319,Low,65.42433
28,8.23,3.59,7.11,4.1255903,84.45851,100.0,4.002,Medium,60.787918
31,6.345,1.28,0.2,7.1872144,402.10687,100.0,5.775,Low,14.746918
18,7.605,,3.25,7.484526,140.75633,100.0,3.02,Medium,39.269825
32,7.46,2.72,0.25,5.0490227,91.4059,97.64,5.495,Medium,13.828149
22,6.17,3.6,2.97,5.9814677,240.33484,91.85,6.834,Medium,9.289967
18,3.6,2.54,1.38,3.9528708,181.84225,94.42,5.186,Medium,13.380775
16,,3.06,2.02,8.394836,301.44055,95.9,,Medium,25.499268
,6.18,4.63,7.02,8.78463,239.73329,100.0,5.744,Medium,54.29088
36,9.57,8.26,3.49,4.4878173,159.08426,87.1,6.838,High,6.9530663
24,10.98,3.65,2.19,7.6802564,63.371758,100.0,5.913,Medium,22.198765
18,2.84,0.87,4.71,8.273219,148.38292,100.0,3.307,Low,88.61245
36,5.93,4.13,1.14,5.5920434,184.42961,95.81,6.663,Medium,1.3029479
32,4.5,1.42,2.08,7.587688,174.49806,100.0,2.816,Low,26.796764
26,2.17,0.98,4.37,4.809306,276.9207,100.0,5.214,Low,42.838036
16,8.62,4.3,1.9,8.913043,238.00586,,8.84,Medium,19.222952
24,8.02,3.7,,7.042105,90.605865,100.0,4.301,Medium,62.710056
18,3.63,2.2,3.93,7.1755223,110.293,100.0,2.476,,42.62241
28,4.34,2.45,6.18,6.9799805,56.866688,100.0,1.236,Medium,76.981476
30,2.24,1.36,7.59,7.079455,75.28058,100.0,-0.017,Low,101.183525
29,10.35,7.28,0.93,8.955871,286.42813,,10.356,High,2.4721508
22,11.75,6.25,2.68,6.8932147,114.672264,100.0,7.171,High,2.6602979
28,3.35,1.51,2.56,9.053014,49.651356,100.0,1.907,,53.778755
37,4.31,1.72,1.21,,205.42339,100.0,6.272,Low,35.123627
39,10.68,5.44,6.48,5.2872286,218.21599,100.0,7.636,High,53.21472
22,11.26,8.39,6.08,8.462388,221.13283,91.34,8.786,High,8.712797
35,6.2,4.67,3.88,7.1947803,198.44661,94.81,5.936,Medium,32.828648
30,2.51,1.76,4.3,7.369984,252.10303,100.0,5.245,Low,59.45251
27,2.39,1.05,0.48,8.5517435,47.427032,100.0,2.231,Low,46.53901
32,7.74,5.05,4.44,5.1749372,172.275,96.66,6.058,High,23.247385
29,5.93,3.81,6.33,5.577963,167.32433,,4.806,Medium,57.504528
35,2.29,1.35,4.59,4.839443,164.34135,100.0,3.308,Low,46.734993
38,,4.93,2.12,7.158382,140.73979,98.21,6.259,,9.529498
39,2.11,1.26,,8.035924,89.739296,100.0,1.473,Low,93.77767
27,,6.31,2.89,9.029028,173.53252,94.27,7.568,High,21.715555
23,5.06,3.69,4.36,6.793933,183.97302,100.0,5.102,Medium,
29,2.4,0.88,3.9,7.5551,99.58691,100.0,2.17,Low,55.69685
27,7.88,,3.05,8.282529,86.463806,100.0,5.445,High,6.5108805
15,5.98,,,7.6411586,240.6977,100.0,,Medium,62.38352
39,11.74,3.99,7.07,5.3825817,214.68304,100.0,8.249,Medium,33.486477
21,7.44,6.59,,7.076761,102.57392,85.53,,High,
23,4.75,4.15,7.47,8.941856,124.8101,100.0,2.434,Medium,65.108635
38,9.09,3.06,4.09,9.041679,178.86214,100.0,6.878,Medium,58.940586
15,4.71,2.67,5.61,7.473905,133.10378,100.0,3.332,Medium,48.716805
26,11.04,4.55,6.84,8.302594,67.4742,100.0,4.328,Medium,78.03118
22,5.75,3.4,3.74,4.773431,186.2682,97.4,5.393,Medium,13.629429
38,7.5,5.99,6.68,5.328413,66.23625,100.0,3.226,High,59.520885
25,2.51,2.18,1.42,8.765393,94.893906,100.0,2.489,,37.119637
33,6.26,4.26,1.27,4.93424,35.68401,100.0,3.789,Medium,5.8017793
31,10.32,5.29,5.26,4.6372046,61.600803,100.0,4.882,High,13.644593
22,10.06,6.66,6.96,6.40562,248.58333,97.58,7.702,High,33.53059
17,4.24,2.07,7.14,7.1506166,223.75812,100.0,4.278,Medium,81.559654
17,4.26,3.6,5.15,6.6476326,293.69693,100.0,6.025,Medium,58.319973
,10.17,8.36,4.2,5.461929,246.80193,81.79,8.925,High,0.61927277
19,,7.17,2.65,8.738911,,98.2,,High,6.147916
24,2.95,,7.84,8.692987,134.2446,100.0,1.343,,93.52534
21,6.5,3.09,2.56,6.570496,101.15214,100.0,4.782,Medium,15.494816
23,5.37,1.72,5.95,6.0391736,247.6956,100.0,5.84,Low,55.740925
21,10.71,8.46,4.26,7.1591425,255.8344,80.78,9.157,High,-2.6414144
23,2.84,1.62,4.87,7.26069,141.5493,,2.379,Low,79.29206
22,4.11,2.03,3.15,5.8406944,261.45526,100.0,6.53,Medium,25.921167
26,9.52,5.55,7.72,5.584084,123.55953,100.0,5.624,High,57.927692
16,2.51,1.99,4.57,5.7871165,148.15565,100.0,3.124,Low,34.182835
15,6.93,2.6,7.5,4.3148246,243.23695,100.0,6.395,Medium,74.2929
30,6.42,5.23,0.06,5.7709837,278.99536,76.03,8.892,High,0.7215678
37,5.34,4.48,4.58,7.3209653,82.951355,100.0,2.896,Medium,51.872353
37,5.95,5.16,5.74,7.274059,51.24963,100.0,2.093,High,56.872257
38,,3.93,5.96,7.3394456,17.704697,100.0,2.462,Medium,60.646824
19,3.61,1.55,7.24,5.5551577,16.477427,100.0,0.333,Low,83.97747
17,7.72,4.05,0.04,7.8550987,93.373,100.0,5.208,Medium,0.14105852
26,10.05,5.02,0.0,3.6394188,197.8178,75.29,8.805,High,-1.3612059
22,9.6,3.89,3.78,5.412931,153.37779,97.3,6.426,Medium,42.41304
36,3.54,2.35,0.23,7.937942,54.169567,100.0,2.921,Medium,22.706753
17,3.49,2.05,7.8,7.1717687,35.18858,100.0,-0.015,Medium,92.9942
15,7.02,3.83,1.78,6.3335443,116.4023,100.0,,Medium,46.455425
17,5.61,1.79,3.78,6.718488,294.806,100.0,7.351,Low,70.981125
19,6.08,4.17,0.49,8.349887,240.60004,95.64,7.413,Medium,
29,8.8,6.67,4.18,7.164025,198.21907,91.39,6.866,High,16.123358
28,2.57,1.94,3.04,8.330363,30.63924,100.0,0.793,Low,61.536457
17,2.35,1.95,0.36,9.322697,81.86107,,2.807,Low,36.39415
15,5.92,4.37,2.68,6.9952536,200.59254,100.0,6.736,Medium,33.726273
19,8.97,7.68,3.13,7.9382024,162.1459,97.4,6.706,,20.988728
37,3.93,1.96,7.92,4.1621265,55.08881,100.0,0.709,Low,85.6772
28,8.42,5.07,1.66,6.436225,213.26064,87.44,8.452,High,-3.829258
21,4.6,1.42,4.36,5.791986,286.49313,,6.932,Low,52.679848
23,10.86,3.3,7.9,8.027716,195.89224,100.0,7.04,Medium,99.19542
29,10.96,4.87,6.34,6.5668397,22.324217,100.0,4.058,Medium,53.250484
29,4.97,1.79,7.95,8.8156595,162.92044,100.0,3.08,Low,100.249626
24,4.3,1.96,7.75,4.8563066,146.02528,100.0,2.865,Low,69.05785
27,6.11,2.48,3.92,7.4927654,116.16386,100.0,4.239,Medium,53.092155
33,4.41,1.4,5.57,5.6374073,184.30708,100.0,4.114,Low,86.83572
21,8.72,7.37,0.88,6.2145877,270.73376,78.44,9.196,High,1.2831005
31,10.26,3.13,3.53,7.812281,180.25053,100.0,7.391,Medium,37.906086
34,8.73,6.47,6.47,5.689748,118.7154,100.0,5.104,High,48.906425
18,10.24,4.01,4.04,3.7864456,3.0642042,100.0,4.368,Medium,31.78511
19,5.97,5.06,5.62,7.2446976,104.944405,100.0,3.419,High,30.071987
37,3.56,2.98,5.97,5.731296,82.846405,100.0,1.289,Medium,66.27243
21,9.38,6.49,2.03,7.030762,122.94241,95.62,6.121,High,9.988582
27,5.6,3.94,7.01,8.459286,197.69386,100.0,4.157,Medium,91.03871
29,8.71,2.64,3.68,4.466616,117.44382,100.0,5.851,Medium,47.96588
25,4.71,4.2,1.68,6.7600727,136.06602,98.23,4.571,Medium,19.124348
18,2.81,2.32,6.92,7.332175,116.97727,100.0,1.649,Medium,84.04172
,11.93,9.99,3.34,9.171,210.12039,85.75,9.123,High,-1.0815477
21,3.56,2.48,6.0,9.259118,92.14949,100.0,2.12,Medium,65.90545
33,11.88,6.02,4.38,7.5642047,143.09647,100.0,6.746,High,41.809578
36,11.77,9.84,3.05,6.574211,40.227444,80.82,5.87,High,2.2362974
16,9.94,4.72,6.48,4.8336887,56.734394,100.0,4.026,Medium,46.575535
24,8.59,5.48,4.68,6.6350245,149.26154,100.0,5.791,High,16.215162
27,7.78,2.8,3.12,6.9613347,214.87242,100.0,7.294,Medium,32.12683
39,10.66,9.09,0.88,,55.458397,76.81,6.066,High,-6.8047137
35,4.89,1.88,7.16,7.1270213,234.96387,100.0,5.317,Low,87.5042
20,6.68,2.91,0.28,7.6741643,69.24508,100.0,4.536,Medium,12.600879
26,8.19,5.2,6.91,5.2840786,194.66116,100.0,6.182,High,52.175385
26,6.11,4.63,2.88,7.663332,76.2623,100.0,3.611,Medium,26.443996
34,6.27,4.21,5.11,4.553212,67.6779,100.0,3.022,Medium,43.71046
25,5.3,2.33,7.38,4.8223653,88.91195,100.0,2.396,Medium,71.173416
37,7.64,2.3,1.21,4.865823,78.076805,100.0,4.817,Medium,14.001687
39,10.51,7.93,4.54,8.696267,242.61247,86.69,8.873,High,8.718898
21,4.02,3.58,,4.120551,48.84347,100.0,,Medium,39.820435
,11.34,8.91,6.06,8.111653,253.1865,93.23,9.172,High,0.6636517
15,8.89,5.12,4.21,5.7981563,,98.45,,High,8.978266
39,10.23,8.62,5.0,6.12774,49.04364,100.0,4.435,High,22.819752
39,7.56,4.13,6.06,,143.21687,100.0,4.942,Medium,70.62342
34,9.8,6.03,6.73,7.3497686,16.646288,100.0,3.401,High,44.34496
27,2.16,1.27,6.09,4.947153,299.69452,100.0,5.073,Low,55.35923
23,10.18,5.79,2.83,5.6482253,52.46042,87.06,5.501,High,1.053877
17,2.4,1.84,7.97,7.866608,,100.0,,Low,104.30996
21,10.9,6.72,3.48,5.587337,95.185234,96.54,6.086,High,8.312599
20,11.92,5.84,0.2,7.397453,290.86203,75.6,11.2,High,9.533699
22,4.94,2.25,2.9,5.227287,107.80005,,3.44,,33.672108
23,4.1,1.32,1.02,6.230138,87.04703,100.0,3.544,Low,32.55444
19,9.65,6.27,0.97,5.05103,219.66133,73.4,,High,-8.620642
15,,1.98,2.25,7.554657,224.94019,100.0,5.75,Low,41.12739
33,10.66,4.15,0.43,,150.04152,90.94,8.741,Medium,0.8636137
24,,2.1,5.51,5.128091,34.870255,100.0,,Medium,67.171104
26,3.26,2.31,0.59,7.967989,115.24393,100.0,3.253,Medium,31.938759
38,11.79,8.86,,8.621959,259.8786,77.07,,High,5.7673144
29,8.74,5.26,0.74,8.177109,170.57657,95.76,7.728,,
36,10.47,8.76,0.51,4.9859347,70.17627,71.36,6.962,High,1.6467206
38,5.24,4.52,2.14,5.8156343,,96.78,5.118,Medium,-6.675424
23,8.76,6.87,4.58,8.049566,65.91213,100.0,4.206,High,45.816536
34,7.94,5.41,7.72,4.8900447,43.275406,100.0,2.354,High,60.595398
31,12.045,3.87,7.0,3.9050732,424.00662,100.0,6.075,Medium,52.799892
31,8.83,7.86,7.01,8.389955,62.663097,100.0,3.252,High,
34,7.75,3.6,1.41,5.502197,196.31247,89.79,7.092,Medium,19.456858
26,6.29,,2.12,5.708805,67.58317,100.0,3.989,Medium,33.2079
21,4.76,2.69,0.61,6.2227526,309.858,85.99,8.057,Medium,25.336823
16,9.69,3.24,6.23,8.429396,102.86047,100.0,5.396,Medium,73.91149
17,4.26,3.78,0.56,5.3098216,76.93771,96.82,3.182,Medium,4.810947
31,8.92,5.83,4.45,9.092976,284.09247,93.21,8.765,High,53.809742
19,4.33,2.75,1.98,6.1412425,193.66003,100.0,5.371,Medium,31.750961
31,8.25,5.72,1.95,6.0867305,238.2212,85.9,8.08,High,-4.139726
38,9.47,5.67,7.93,6.6418786,71.860855,100.0,3.716,High,59.99287
,4.19,1.34,6.05,5.1211276,98.80399,100.0,1.86,Low,67.3357
31,2.6,1.74,6.7,7.4583564,29.504599,100.0,-0.21,Low,
16,3.31,,4.58,6.6861453,180.64406,100.0,3.621,Medium,54.804523
16,8.06,4.43,6.97,8.203688,235.84848,100.0,6.539,Medium,100.97316
36,10.49,7.91,5.16,5.9613376,,90.07,,High,18.1142
37,2.45,1.07,7.57,6.6913686,111.01855,100.0,1.034,Low,104.08203
19,9.34,4.04,2.25,6.0374007,183.76031,92.22,7.575,Medium,21.447426
15,5.41,2.15,4.76,7.76556,53.945255,100.0,2.597,Medium,63.58088
15,6.79,3.55,5.52,6.3698325,182.08778,100.0,5.359,Medium,40.123493
33,11.29,9.12,3.14,5.4078918,148.4596,70.11,8.183,High,-6.599749
16,5.32,4.24,7.04,8.368914,234.46404,100.0,5.528,Medium,66.739685
35,6.65,3.52,7.84,,212.41068,100.0,4.513,Medium,90.28902
26,2.14,1.4,3.95,,191.37001,100.0,3.485,Low,66.45096
20,2.82,2.07,3.13,,275.82687,,5.791,Medium,39.75361
37,4.59,2.04,3.78,7.7783637,58.863438,100.0,2.661,Medium,72.83209
18,2.28,0.91,6.82,6.060877,182.06993,100.0,2.494,Low,83.73557
37,8.31,7.34,5.16,3.7816534,74.48622,87.29,4.067,High,2.8273578
25,6.26,4.2,,7.7976866,225.21971,88.11,7.862,Medium,-1.2695385
38,7.48,6.65,4.34,4.958053,265.6891,88.47,7.898,High,7.082293
31,3.75,1.88,0.14,6.6215444,78.99518,100.0,3.573,Low,19.841583
20,4.96,3.58,6.23,4.665802,88.00925,100.0,2.051,Medium,61.31522
38,8.64,3.75,2.63,6.176768,255.37596,96.7,8.811,Medium,17.91123
19,11.65,,3.78,4.644791,79.92656,92.54,5.871,High,14.735171
34,2.5,,6.39,5.9462743,153.10254,100.0,2.473,Low,72.52317
16,10.9,5.36,0.37,6.8778863,310.27005,74.45,11.039,High,-4.4327216
20,7.77,3.11,1.27,4.944087,175.20966,97.65,6.644,Medium,12.36402
36,,,3.18,6.6579876,246.63216,99.05,,Medium,15.56747
25,7.0,2.25,1.84,8.189593,177.0876,100.0,6.768,Medium,40.165733
30,2.69,1.94,2.7,6.931127,220.89247,100.0,4.615,Low,54.988575
30,2.9,1.73,7.99,9.037428,249.82678,100.0,4.233,Low,
15,8.01,2.86,6.6,8.932041,214.30074,100.0,6.625,Medium,77.740715
23,5.41,2.18,7.07,8.779435,147.08522,100.0,3.984,Medium,83.87675
20,11.17,4.04,7.5,7.678216,135.04532,,6.195,Medium,68.66573
30,6.07,4.05,2.73,5.78449,63.6944,100.0,3.576,Medium,8.828245
17,3.43,1.22,2.38,8.912259,135.67244,100.0,3.861,Low,68.70122
34,9.15,6.89,1.87,8.679893,82.620384,88.42,5.754,High,3.2387156
18,4.93,1.54,6.64,7.8522863,269.28067,100.0,5.473,Low,83.88035
33,7.25,3.26,5.44,5.606052,,100.0,2.553,Medium,40.38374
17,8.98,7.49,1.89,9.148397,,80.23,,High,-3.872712
33,11.0,8.04,3.02,7.3758802,145.0843,90.89,7.474,High,11.1627655
34,9.92,3.41,4.05,7.973464,140.17996,100.0,6.365,Medium,40.263893
21,13.14,6.94,4.23,4.652353,148.81938,81.48,4.571,High,7.0364223
34,8.8,5.24,7.11,5.1512833,101.76146,100.0,4.427,High,41.758167
23,11.46,9.26,3.04,8.656904,125.84654,82.74,7.098,High,2.112863
15,4.96,3.28,7.27,6.327578,265.44778,100.0,5.679,Medium,66.95364
22,2.01,,3.53,5.7501173,201.63751,100.0,3.646,Low,38.808628
21,4.72,4.23,5.97,8.399978,246.5896,100.0,5.489,Medium,47.54191
32,4.18,1.84,7.44,4.830789,167.13562,100.0,,Low,71.895226
22,8.62,5.81,7.26,5.817704,68.47358,100.0,3.812,High,72.400826
15,8.34,4.81,0.46,5.8171816,27.779259,87.4,4.512,Medium,1.8226618
25,7.93,2.57,1.65,5.6768355,150.90836,100.0,6.25,Medium,14.422939
39,2.16,0.67,3.82,6.2785616,238.70682,100.0,4.694,Low,57.999138
39,,3.45,3.45,4.218147,62.107998,100.0,4.85,Medium,33.8798
32,5.24,3.61,5.13,4.777591,214.8123,100.0,5.221,Medium,33.66295
37,8.65,5.54,7.56,7.690965,26.55883,100.0,2.957,High,91.60132
24,7.57,4.78,0.9,,305.0289,92.97,9.235,Medium,1.3666357
17,5.43,1.73,3.61,6.0018716,181.51328,100.0,5.252,Low,50.94944
21,3.35,1.95,1.54,5.0923076,254.6664,95.09,6.253,Low,24.026884
30,2.94,2.51,7.15,5.00294,147.60182,100.0,2.305,Medium,74.43522
30,10.32,5.56,7.72,7.8723307,25.944307,100.0,3.644,,63.826626
39,11.18,7.55,3.83,8.515537,135.29419,99.94,7.381,High,23.430147
34,8.5,6.53,0.83,5.6746936,114.745895,83.58,5.901,High,-1.1443849
31,3.03,2.33,6.28,5.2987523,72.64425,,1.471,Medium,81.803894
16,6.02,3.68,5.58,7.869418,256.54916,100.0,6.376,Medium,32.448208
15,9.29,7.57,2.84,7.0369654,123.07527,87.17,6.293,High,7.1031513
30,9.8,,7.1,6.6764865,38.55553,100.0,3.33,High,62.617714
26,3.18,2.65,7.81,7.2181654,139.72757,100.0,2.007,Medium,86.83424
19,2.0,0.89,4.46,7.4854293,71.09483,100.0,1.042,Low,56.76148
19,9.12,4.27,4.53,9.080145,30.11649,100.0,3.781,Medium,57.43106
37,5.57,1.85,2.38,5.0871005,123.59786,100.0,4.711,Low,22.191967
23,4.54,3.53,4.68,8.616757,261.98782,100.0,6.566,Medium,50.597946
23,2.13,1.17,3.52,6.3093805,114.91063,100.0,1.949,Low,58.11031
17,7.4,3.24,2.42,7.125645,59.65994,100.0,4.074,Medium,40.46754
33,10.51,4.61,0.54,6.497288,212.1618,91.26,9.513,Medium,-9.392042
30,11.58,9.74,2.02,5.921905,150.5361,66.21,7.924,High,5.206016
30,7.66,6.13,1.58,7.4754944,226.27501,92.36,7.536,,
17,,4.51,4.34,5.478197,265.16153,100.0,7.488,Medium,45.815735
34,2.85,1.91,4.81,4.2681932,184.82397,100.0,3.742,Low,34.678562
38,7.49,4.38,4.87,6.948209,249.01663,100.0,7.264,Medium,30.03194
,5.8,3.1,3.11,6.122808,63.02739,100.0,3.307,Medium,47.282726
38,12.105,6.85,3.37,5.5504856,360.2365,97.8,6.404,High,1.7211319
15,5.89,2.21,6.67,8.534261,220.35852,100.0,5.484,Medium,99.37683
38,4.4,2.42,3.81,4.7964897,94.52585,100.0,2.657,Medium,31.397863
34,2.95,1.49,7.9,6.0868773,121.81482,100.0,1.825,Low,94.48341
25,5.15,3.08,3.52,4.259666,258.74194,100.0,6.679,Medium,16.486681
31,2.97,1.71,,6.993992,75.54456,100.0,,Low,55.200424
22,3.77,2.3,0.4,5.1447906,239.58705,90.99,7.045,Medium,13.826639
18,11.87,4.56,5.23,,2.1405714,,4.846,Medium,42.516487
20,6.44,3.91,6.81,4.549419,124.81821,100.0,3.557,Medium,48.368523
22,7.32,3.26,7.54,4.2038937,207.65433,100.0,5.878,Medium,58.86204
34,10.74,4.41,,8.181426,182.87375,100.0,6.956,Medium,94.12107
17,11.96,4.05,2.26,7.4008493,50.51574,100.0,6.022,Medium,20.81106
30,7.83,5.93,4.6,5.301398,128.97144,100.0,4.715,High,36.795055
39,10.12,5.63,3.61,4.2639904,153.98622,91.09,6.517,High,
17,5.27,3.56,4.51,8.460888,210.38687,100.0,5.462,Medium,
39,5.06,3.73,1.26,4.7400193,208.70947,80.61,6.132,Medium,3.056861
32,6.03,4.27,6.85,8.388057,270.46555,100.0,6.32,Medium,80.80613
28,8.73,5.08,7.28,6.987375,279.00784,100.0,7.581,High,69.43393
32,8.82,4.7,3.6,6.6715126,32.667515,100.0,4.11,Medium,14.938751
,5.15,2.71,2.24,7.5081544,128.48206,100.0,4.223,Medium,49.67909
36,3.33,2.28,1.13,8.243518,283.20975,100.0,6.146,Medium,30.025314
17,,4.97,5.47,5.4667387,152.11838,100.0,,Medium,44.491352
30,3.28,2.66,2.5,6.1508136,22.030954,100.0,1.41,Medium,29.311214
23,7.78,6.42,,6.1623864,278.45956,100.0,7.446,High,38.38794
18,8.93,3.59,5.37,9.137826,30.00653,100.0,3.254,Medium,74.940994
15,9.01,3.44,5.17,7.5784626,87.28025,100.0,4.494,Medium,74.51652
18,9.53,6.46,4.48,5.2634745,294.6687,90.51,9.081,High,3.7771459
15,10.73,5.16,0.37,4.9647937,,88.78,7.434,High,2.9925156
28,7.0,2.18,7.46,5.2426353,95.94826,100.0,3.142,,73.49118
35,9.3,7.75,5.02,5.4434156,279.82947,94.61,8.744,High,-5.5155034
30,8.19,3.57,7.95,5.43314,288.39188,100.0,6.95,Medium,53.92074
34,3.87,3.32,4.3,,133.07857,,3.405,Medium,43.841637
38,2.26,1.65,5.68,4.7997956,80.591675,100.0,0.746,Low,61.11459
22,4.85,3.67,0.45,5.483643,200.04863,,6.03,Medium,-5.664975
21,6.43,2.71,5.05,7.834269,38.80569,100.0,2.62,Medium,70.03109
17,8.17,3.6,6.12,5.003278,13.411492,100.0,2.649,Medium,73.68727
31,10.5,6.43,6.23,4.4302483,206.57463,88.0,7.241,High,38.62651
15,5.94,1.6,6.16,4.706766,357.37738,100.0,3.852,Low,65.47824
,3.26,1.58,1.81,5.1872706,56.165707,100.0,1.827,Low,38.40208
26,11.63,5.73,7.8,8.251437,103.92285,100.0,5.675,High,96.21942
33,3.08,1.22,7.96,6.763886,,100.0,3.572,Low,104.66505
36,6.78,2.87,0.6,4.0849905,58.33639,98.46,4.01,Medium,14.288025
37,7.86,6.08,7.49,5.812925,191.1461,100.0,,High,53.47576
36,7.41,2.97,2.32,4.8862863,41.45405,100.0,3.669,Medium,14.732769
28,2.86,0.91,5.51,7.648043,34.38935,100.0,0.557,Low,71.00387
20,2.57,1.74,2.7,5.989318,264.48517,100.0,5.735,Low,38.825596
20,3.05,2.7,7.74,6.7713327,219.92773,100.0,3.043,Medium,87.82547
27,7.86,3.92,0.81,6.0225725,142.11243,,6.507,,5.083293
33,7.44,2.76,3.98,4.476187,224.01326,100.0,6.586,Medium,43.68025
36,4.34,2.79,3.42,8.492552,87.14479,100.0,2.884,Medium,71.89652
22,8.38,7.07,2.61,7.8350186,188.95863,94.11,6.967,High,17.007132
16,10.2,7.86,5.16,8.264072,82.7019,98.36,4.912,High,42.484234
35,2.42,1.63,1.05,3.83075,206.14767,100.0,4.895,Low,17.833158
15,6.98,3.41,5.73,7.6293283,139.0755,100.0,4.971,Medium,52.257114
29,8.89,5.56,7.84,7.0309796,46.244663,100.0,2.833,High,80.00522
15,4.52,1.6,6.44,8.202682,150.25624,100.0,3.508,Low,95.49243
